date,region,instance_type,purchase_type,number_of_cpus,usage_hours,total_cost,cost_per_hour
2024-12-02,us-east-1,r5.2xlarge,Savings Plans,8,33.1379579831,16.7015308235,0.5040000000005311
2024-12-02,us-east-1,r6i.2xlarge,On Demand,8,13.0,6.552,0.504
2024-12-02,us-east-1,r6i.2xlarge,Savings Plans,8,11.0,5.544,0.504
2024-12-03,us-east-1,m6g.2xlarge,Savings Plans,8,48.0,14.784,0.308
2024-12-03,us-east-1,m6g.4xlarge,Savings Plans,16,24.0,14.784,0.616
2024-12-03,us-east-1,m6i.4xlarge,Savings Plans,16,24.0,18.432,0.7679999999999999
2024-12-03,us-east-1,r5.2xlarge,On Demand,8,18.0,9.072,0.504
2024-12-03,us-east-1,r5.2xlarge,Savings Plans,8,30.0,15.12,0.504
2024-12-03,us-east-1,r6i.2xlarge,On Demand,8,11.0,5.544,0.504
2024-12-03,us-east-1,r6i.2xlarge,Savings Plans,8,13.0,6.552,0.504
2024-12-04,us-east-1,m6g.2xlarge,Savings Plans,8,48.0,14.784,0.308
2024-12-04,us-east-1,m6g.4xlarge,Savings Plans,16,24.0,14.784,0.616
2024-12-04,us-east-1,m6i.4xlarge,Savings Plans,16,24.0,18.432,0.7679999999999999
2024-12-04,us-east-1,r5.2xlarge,On Demand,8,20.0,10.08,0.504
2024-12-04,us-east-1,r5.2xlarge,Savings Plans,8,28.0,14.112,0.504
2024-12-04,us-east-1,r6i.2xlarge,On Demand,8,12.0,6.048,0.504
2024-12-04,us-east-1,r6i.2xlarge,Savings Plans,8,12.0,6.048,0.504
2024-12-05,us-east-1,m6g.2xlarge,Savings Plans,8,48.0,14.784,0.308
2024-12-05,us-east-1,m6g.4xlarge,Savings Plans,16,24.0,14.784,0.616
2024-12-05,us-east-1,m6i.4xlarge,Savings Plans,16,24.0,18.432,0.7679999999999999
2024-12-05,us-east-1,r5.2xlarge,On Demand,8,16.0,8.064,0.504
2024-12-05,us-east-1,r5.2xlarge,Savings Plans,8,32.0,16.128,0.504
2024-12-05,us-east-1,r6i.2xlarge,On Demand,8,9.0,4.536,0.504
2024-12-05,us-east-1,r6i.2xlarge,Savings Plans,8,15.0,7.56,0.504
2024-12-06,us-east-1,m6g.2xlarge,Savings Plans,8,48.0,14.784,0.308
2024-12-06,us-east-1,m6g.4xlarge,Savings Plans,16,24.0,14.784,0.616
2024-12-06,us-east-1,m6i.4xlarge,Savings Plans,16,24.0,18.432,0.7679999999999999
2024-12-06,us-east-1,r5.2xlarge,Savings Plans,8,48.0,24.192,0.504
2024-12-06,us-east-1,r6i.2xlarge,On Demand,8,1.0,0.504,0.504
2024-12-06,us-east-1,r6i.2xlarge,Savings Plans,8,23.0,11.592,0.504
2024-12-07,us-east-1,m6g.2xlarge,Savings Plans,8,48.0,14.784,0.308
2024-12-07,us-east-1,m6g.4xlarge,Savings Plans,16,24.0,14.784,0.616
2024-12-07,us-east-1,m6i.4xlarge,Savings Plans,16,24.0,18.432,0.7679999999999999
2024-12-07,us-east-1,r5.2xlarge,Savings Plans,8,48.0,24.192,0.504
2024-12-07,us-east-1,r6i.2xlarge,Savings Plans,8,24.0,12.096,0.504
2024-12-08,us-east-1,m6g.2xlarge,Savings Plans,8,48.0,14.784,0.308
2024-12-08,us-east-1,m6g.4xlarge,Savings Plans,16,24.0,14.784,0.616
2024-12-08,us-east-1,m6i.4xlarge,Savings Plans,16,24.0,18.432,0.7679999999999999
2024-12-08,us-east-1,r5.2xlarge,On Demand,8,2.0,1.008,0.504
2024-12-08,us-east-1,r5.2xlarge,Savings Plans,8,46.0,23.184,0.504
